timestamp,open,high,low,close,volume
2025-01-01 00:00:00,3336.58,3348.47,3334.76,3347.4,11849.907
2025-01-01 00:15:00,3347.41,3353.0,3345.99,3348.62,13400.864
2025-01-01 00:30:00,3348.63,3360.47,3348.03,3355.36,28098.106
2025-01-01 00:45:00,3355.36,3364.5,3353.11,3362.9,14978.352
2025-01-01 01:00:00,3362.89,3365.32,3354.0,3359.62,13083.658
2025-01-01 01:15:00,3359.62,3359.62,3350.05,3351.78,9644.762
2025-01-01 01:30:00,3351.79,3357.57,3351.55,3351.83,5642.668
2025-01-01 01:45:00,3351.83,3353.65,3341.18,3345.82,11712.15
2025-01-01 02:00:00,3345.83,3354.19,3345.25,3354.19,8493.047
2025-01-01 02:15:00,3354.18,3354.18,3348.21,3349.61,4278.749
2025-01-01 02:30:00,3349.61,3359.49,3349.17,3356.89,6821.247
2025-01-01 02:45:00,3356.89,3368.02,3354.56,3361.81,21720.716
2025-01-01 03:00:00,3361.81,3363.0,3357.58,3359.05,7953.806
2025-01-01 03:15:00,3359.05,3359.05,3350.86,3353.95,6369.81
2025-01-01 03:30:00,3353.96,3356.41,3351.24,3355.06,4454.123
2025-01-01 03:45:00,3355.06,3356.07,3350.23,3354.34,6026.0
2025-01-01 04:00:00,3354.35,3355.77,3347.2,3348.16,11718.951
2025-01-01 04:15:00,3348.16,3350.84,3345.12,3347.45,16057.28
2025-01-01 04:30:00,3347.45,3349.68,3343.37,3344.84,9213.621
2025-01-01 04:45:00,3344.84,3346.42,3338.26,3339.94,17122.072
2025-01-01 05:00:00,3339.93,3347.0,3339.13,3345.85,9649.261
2025-01-01 05:15:00,3345.84,3350.2,3344.19,3348.89,10090.155
2025-01-01 05:30:00,3348.89,3350.56,3343.24,3347.22,7656.174
2025-01-01 05:45:00,3347.22,3348.72,3343.46,3344.21,6563.493
2025-01-01 06:00:00,3344.21,3347.33,3337.6,3340.46,10490.947
2025-01-01 06:15:00,3340.46,3344.86,3339.58,3342.96,6666.178
2025-01-01 06:30:00,3342.97,3343.63,3335.46,3343.63,9578.869
2025-01-01 06:45:00,3343.63,3345.76,3341.62,3345.66,5230.614
2025-01-01 07:00:00,3345.66,3345.67,3339.09,3340.27,6262.249
2025-01-01 07:15:00,3340.27,3343.95,3338.31,3340.66,3857.125
2025-01-01 07:30:00,3340.65,3344.82,3340.0,3343.2,4565.501
2025-01-01 07:45:00,3343.2,3348.0,3341.97,3345.84,7897.173
2025-01-01 08:00:00,3345.83,3348.0,3343.72,3346.38,4862.398
2025-01-01 08:15:00,3346.39,3347.77,3330.06,3336.48,19710.721
2025-01-01 08:30:00,3336.48,3341.8,3335.48,3338.56,9873.398
2025-01-01 08:45:00,3338.57,3338.98,3332.23,3335.57,12295.958
2025-01-01 09:00:00,3335.56,3340.17,3329.52,3333.38,20645.619
2025-01-01 09:15:00,3333.38,3333.39,3312.62,3321.66,91382.427
2025-01-01 09:30:00,3321.67,3328.6,3318.5,3326.22,19796.241
2025-01-01 09:45:00,3326.22,3334.33,3323.12,3333.64,13911.421
2025-01-01 10:00:00,3333.63,3338.05,3328.35,3329.19,15957.388
2025-01-01 10:15:00,3329.18,3335.77,3328.36,3331.71,7989.914
2025-01-01 10:30:00,3331.73,3336.8,3327.4,3329.6,6642.069
2025-01-01 10:45:00,3329.59,3331.17,3324.92,3325.99,7293.068
2025-01-01 11:00:00,3326.0,3329.89,3322.68,3328.64,10695.832
2025-01-01 11:15:00,3328.65,3334.82,3328.64,3334.82,7881.041
2025-01-01 11:30:00,3334.82,3342.3,3333.3,3342.08,17086.229
2025-01-01 11:45:00,3342.08,3348.0,3338.94,3340.06,17652.338
2025-01-01 12:00:00,3340.06,3343.19,3337.29,3340.74,9040.62
2025-01-01 12:15:00,3340.74,3350.86,3340.54,3349.43,15726.411
2025-01-01 12:30:00,3349.42,3351.57,3343.81,3346.58,12389.133
2025-01-01 12:45:00,3346.59,3347.81,3343.0,3346.0,7144.096
2025-01-01 13:00:00,3346.0,3352.78,3336.33,3337.99,19516.481
2025-01-01 13:15:00,3337.98,3341.89,3330.98,3335.03,17892.235
2025-01-01 13:30:00,3335.03,3343.15,3333.33,3336.28,9421.978
2025-01-01 13:45:00,3336.29,3343.16,3336.0,3343.1,12296.956
2025-01-01 14:00:00,3343.1,3359.09,3342.72,3347.31,34440.329
